,time,acc,predicted
0,144886.0,56.127652,8132110.987671999
1,57616.0,9.896682,570207.230112
2,5865.0,1.273101,7466.737365
3,21401.0,2.723707,58290.053507000004
4,90139.0,23.109863,2083099.940957
5,44187.0,7.962874,351855.513438
6,29822.0,3.928891,117167.38740200001
7,21196.0,2.138619,45330.168324
8,111493.0,36.095262,4024369.046166
9,87086.0,20.47635,1783203.4161
10,41102.0,4.959278,203836.244356
11,19386.0,2.29622,44514.520919999995
12,78028.0,15.51007,1210219.74196
13,26983.0,3.073846,82941.586618
14,116346.0,39.604203,4607790.602237999
15,165404.0,110.226706,18231938.079223998
16,137364.0,63.67327300000001,8746415.472372001
17,83024.0,14.586161,1211001.430864
18,89531.0,26.075821999999995,2334594.4194819997
19,46212.0,7.303737,337520.294244
20,9283.0,1.598376,14837.724408
21,60007.0,9.475357,568587.747499
22,61739.0,10.659736,658121.4409040001
23,61319.0,8.951471,548895.250249
24,21438.0,2.148185,46052.79003
25,67860.0,13.985398,949049.10828
26,125054.0,40.01631,5004199.63074
27,78212.0,16.109565,1259961.29778
28,114078.0,39.213775,4473429.024449999
29,101519.0,26.853845,2726175.490555
30,80384.0,14.381501,1156042.576384
31,58582.0,9.437184,552849.113088
32,33578.0,3.751734,125975.724252
33,13171.0,2.04018,26871.210779999998
34,91255.0,23.339083999999996,2129808.11042
35,28076.0,3.409326,95720.236776
36,99242.0,24.877154999999995,2468858.6165099996
37,95516.0,23.595341,2253732.590956
38,81318.0,17.327201,1409013.3309179998
39,77606.0,14.272267,1107613.552802
40,45761.0,6.573639000000001,300816.294279
41,72178.0,12.967848,935993.332944
42,91740.0,22.030758,2021101.73892
43,48037.0,7.235533,347573.298721
44,58039.0,8.134959,472144.88540100004
45,118588.0,36.143763,4286216.566644
46,82034.0,18.6948,1533609.2232000001
47,50411.0,7.651088,385698.997168
48,67065.0,14.812714,993414.66441
49,56623.0,9.212152,521619.682696
50,38967.0,5.334745,207879.008415
51,47002.0,7.432117,349324.363234
52,73538.0,14.357081,1055791.022578
53,138228.0,60.455713,8356672.296564001
54,45557.0,6.013734999999999,273967.72539499996
55,66382.0,11.966619,794368.102458
56,50796.0,6.800573000000001,345441.906108
57,10542.0,2.127765,22430.89863
58,106204.0,30.790553,3270079.890812
59,37967.0,6.117659,232269.159253
60,83391.0,21.383407,1783183.6931369998
61,48806.0,6.258699,305462.063394
62,24595.0,2.985314,73423.79783
63,226303.0,185.420872,41961299.596216
64,32093.0,3.472312,111436.909016
65,107120.0,30.851391,3304801.00392
66,5294.0,1.229048,6506.580112
67,109864.0,31.583959,3469940.071576
68,100689.0,21.911058,2206202.518962
69,100983.0,25.263407,2551174.629081
70,2049.0,1.073959,2200.541991
71,92901.0,20.92827,1944257.21127
72,110704.0,29.339611,3248012.2961440003
73,2147.0,1.088057,2336.058379
74,77946.0,14.645039999999998,1141522.28784
75,120805.0,38.708644,4676197.73842
76,84096.0,17.875179,1503231.0531839998
77,27408.0,3.492846,95731.92316800001
78,50708.0,7.44295,377417.1086
79,2350.0,1.028956,2418.0466
80,25671.0,3.4695530000000003,89066.895063
81,80540.0,17.937754,1444706.7071600002
82,108790.0,30.398558,3307059.12482
83,75388.0,14.877362999999999,1121574.641844
84,46391.0,7.471034,346588.73829400004
85,28670.0,3.540688,101511.52496
86,9948.0,1.60596,15976.09008
87,31308.0,5.050735,158128.41138
88,72040.0,11.863783,854666.92732
89,102582.0,27.687227,2840211.120114
90,42729.0,5.431006,232061.455374
91,32718.0,4.193814,137213.20645199998
92,37143.0,6.148733,228382.389819
93,74621.0,18.223124,1359827.7360039998
94,79862.0,17.132625,1368245.69775
95,43153.0,5.410729,233489.188537
96,45489.0,6.766494999999999,307801.09105499997
97,42010.0,6.156299,258626.12099
98,57773.0,7.797690000000001,450495.94437000004
99,74761.0,16.923636,1265227.9509959999
100,35975.0,4.172858,150118.56655
101,49937.0,9.477157,473260.789109
102,52319.0,7.276021,380674.142699
103,13169.0,2.027464,26699.673416
104,34459.0,4.229238,145735.31224199999
105,93133.0,22.137576,2061738.865608
106,113379.0,27.4104,3107763.7416
107,62580.0,12.841539,803623.51062
108,17875.0,3.018884,53962.5515
109,52956.0,10.399439,550712.691684
110,110410.0,32.985144,3641889.7490399997
111,80358.0,15.364373,1234650.285534
112,114402.0,37.944795,4340960.43759
113,21940.0,3.415186,74929.18084
114,71664.0,14.958423,1071980.425872
115,38470.0,5.57728,214557.9616
116,11325.0,1.725111,19536.882075
117,55469.0,8.155543,452379.81466699997
118,44188.0,6.248846,276124.007048
119,117516.0,40.169466,4720554.966456
120,74688.0,13.996581,1045376.641728
121,145005.0,65.174166,9450579.94083
122,46245.0,6.115575,282814.765875
123,47134.0,6.326702999999999,298202.819202
124,48644.0,6.178922,300567.481768
125,147609.0,59.840801000000006,8833040.794809
126,139914.0,57.080886,7986415.083804
127,46663.0,7.44801,347546.49063
128,12043.0,1.972318,23752.625674
129,41967.0,5.786503,242842.171401
130,87113.0,19.26879,1678562.1032699998
131,40742.0,5.507821,224399.643182
132,77192.0,14.494060999999999,1118825.556712
133,89755.0,21.998526,1974477.70113
134,122312.0,50.045909,6121215.221608
135,121272.0,34.507874,4184838.895728
136,56234.0,13.11186,737332.33524
137,64545.0,13.337868,860892.69006
138,80908.0,18.126001,1466538.4889079998
139,47009.0,7.438637,349682.886733
140,114396.0,29.697514,3397276.811544
141,60340.0,9.394005,566834.2617
142,32815.0,4.600041,150950.345415
143,7894.0,1.455362,11488.627628
144,28628.0,3.668938,105034.357064
145,13515.0,1.7610800000000002,23800.9962
146,41875.0,5.030755,210662.865625
147,49720.0,6.892639000000001,342702.01108
148,39622.0,6.052177,239799.357094
149,36096.0,4.649736,167836.87065599998
150,49111.0,10.148124,498384.517764
151,57240.0,9.596818,549321.8623200001
152,150068.0,85.059619,12764726.904091999
153,113895.0,41.378987,4712859.724365001
154,24041.0,3.516604,84542.676764
155,54062.0,10.513614,568387.000068
156,88254.0,18.82205,1661121.2007000002
157,49304.0,6.366083,313873.356232
158,124214.0,46.496929,5775569.538806
159,51301.0,6.908366,354406.084166
160,64205.0,11.791948,757102.02134
161,96337.0,18.712138,1802671.238506
162,86528.0,20.046225,1734559.7568
163,72437.0,13.52075,979402.5677499999
164,30289.0,5.584128,169137.652992
165,71423.0,12.865112,918864.894376
166,67310.0,12.204229,821466.65399
167,89920.0,19.275615,1733263.3007999999
168,36325.0,4.377029,158995.578425
169,24411.0,2.6531,64764.8241
170,17765.0,2.352769,41796.941285
171,74043.0,13.656693,1011182.519799
172,34993.0,4.755213,166399.168509
173,38014.0,5.443534,206930.50147599998
174,31391.0,2.905273,91199.42474300001
175,114540.0,36.36971,4165786.5834
176,7249.0,1.491241,10810.006009
177,120217.0,40.900228,4916902.709476
178,58365.0,8.133811,474729.87901499995
179,97407.0,23.628147,2301546.914829
180,25253.0,2.919617,73729.088101
181,27514.0,3.262946,89776.69624399999
182,74730.0,13.135987,981652.30851
183,48192.0,5.505723999999999,265331.85100799997
184,65901.0,10.864278,715966.784478
185,59102.0,11.079958,654847.677716
186,73154.0,12.761701,933569.474954
187,17412.0,1.9967300000000001,34767.06276
188,70519.0,12.97877,915249.8816300001
189,58656.0,11.431634,670533.9239040001
190,37225.0,4.60304,171348.164
191,251702.0,295.824439,74459602.945178
192,21213.0,2.477257,52550.052741
193,81240.0,16.146206,1311717.77544
194,63688.0,9.886604,629658.035552
195,55991.0,8.083203,452586.619173
196,48721.0,6.298806,306884.127126
197,18869.0,2.216543,41823.949867
198,61141.0,9.057179,553764.981239
199,39542.0,6.787756,268401.447752
200,82187.0,21.254569,1746849.262403
201,21968.0,3.128872,68735.060096
202,53683.0,9.575637,514048.92107100005
203,80276.0,17.274274,1386709.6196239998
204,25863.0,3.0016940000000005,77632.81192200001
205,59243.0,9.364092,554756.9023559999
206,87006.0,19.795602,1722336.147612
207,103213.0,29.676306,3062980.571178
208,103856.0,28.165554,2925161.776224
209,97233.0,27.423957,2666513.610981
210,88200.0,22.526656,1986851.0592
211,111178.0,33.152506,3685829.3120680004
212,103036.0,28.914708,2979255.853488
213,83488.0,21.306396,1778828.389248
214,87667.0,18.184138,1594148.826046
215,74378.0,12.960646,963986.928188
216,103401.0,22.50981,2327536.86381
217,105675.0,32.930413,3479921.3937750002
218,95751.0,29.022493,2778932.727243
219,65953.0,11.210955,739396.115115
220,77038.0,14.3208,1103245.7904
221,37459.0,4.541436,170117.651124
222,95419.0,24.113255,2300862.678845
223,58648.0,6.447782,378149.518736
224,69395.0,15.288935,1060975.644325
225,7429.0,1.161828,8631.220212
226,82544.0,19.067474,1573905.573856
227,89301.0,19.31851,1725162.26151
228,137775.0,58.848045,8107789.399875
229,85897.0,22.217441,1908411.529577
230,6156.0,1.277359,7863.422003999999
231,67477.0,11.30689,762955.0165299999
232,61305.0,9.776503,599348.516415
233,130008.0,41.03824,5335299.50592
234,101752.0,26.326437,2678767.6176239997
235,21440.0,2.054118,44040.289919999996
236,69856.0,13.464588,940582.2593279999
237,113752.0,29.671242,3375163.119984
238,28119.0,3.262886,91749.091434
239,78113.0,16.549581,1292737.420653
