,time,acc,predicted
0,26210.0,40.334313,1057162.34373
1,71744.0,489.686009,35132033.029696
2,118712.0,1938.96163,230178013.02056
3,34131.0,95.162528,3247992.2431679997
4,34824.0,130.832913,4556125.362311999
5,67511.0,382.079114,25794543.065254
6,62811.0,385.323195,24202535.201145
7,23491.0,38.12917,895692.33247
8,52367.0,285.255195,14937958.796565
9,23405.0,36.502573,854342.7210649999
10,117592.0,3674.078833,432042278.130136
11,101112.0,3263.9116529999997,330020635.058136
12,34241.0,153.648591,5261081.404431
13,59211.0,323.787603,19171787.761233
14,58808.0,455.121192,26764767.059136
15,47716.0,340.689689,16256349.200323999
16,64635.0,433.417267,28013925.052545
17,51052.0,497.75718,25411499.55336
18,8358.0,5.686049,47523.997542
19,46418.0,115.552203,5363702.158854
20,72343.0,542.829633,39269924.140118994
21,30022.0,69.978149,2100883.989278
22,75548.0,724.312083,54720329.246484004
23,67971.0,598.118282,40654697.745822005
24,68438.0,718.491291,49172106.973458
25,59105.0,266.282098,15738603.402290002
26,45135.0,116.918647,5277123.132345
27,43458.0,87.960905,3822605.00949
28,36794.0,113.631288,4180949.610672
29,73717.0,501.14251400000006,36942722.704538
30,108641.0,1621.755559,176189145.685319
31,22799.0,31.203841999999998,711416.393758
32,51129.0,243.555654,12452757.033366
33,75805.0,872.346951,66128260.620555
34,8178.0,5.247377,42913.049106
35,15122.0,11.250892,170135.988824
36,19575.0,10.220009,200056.67617499997
37,51367.0,290.369353,14915402.555551
38,22427.0,53.066058999999996,1190112.505193
39,49768.0,165.292824,8226293.264832
40,53361.0,156.08288,8328738.559679999
41,23730.0,23.036365000000004,546652.94145
42,71494.0,508.3137679999999,36341384.529392
43,83422.0,862.25797,71931284.37334
44,8587.0,8.333588,71560.520156
45,112618.0,2229.744845,251109404.95421
46,78807.0,945.1809530000002,74486875.36307101
47,33411.0,74.141758,2477150.276538
48,31417.0,41.902011,1316435.479587
49,31282.0,66.985034,2095425.833588
50,38931.0,98.111883,3819593.717073
51,48802.0,206.06492400000002,10056380.421048
52,64586.0,352.366881,22757967.376266
53,35311.0,63.141904000000004,2229603.772144
54,29078.0,65.407808,1901928.241024
55,30185.0,43.302223,1307077.6012549999
56,23778.0,32.357107,769387.2902459999
57,89846.0,871.259463,78279177.712698
58,30383.0,63.286538,1922834.884054
59,39666.0,101.336994,4019633.204004
60,37572.0,196.687564,7389945.154608
61,80609.0,1236.406295,99665475.033655
62,23567.0,26.798725,631565.552075
63,77145.0,649.083905,50073577.851224996
64,13482.0,11.251657,151694.839674
65,63512.0,384.412915,24414833.05748
66,36925.0,82.293184,3038675.8192
67,14858.0,15.833423,235252.998934
68,38717.0,101.286005,3921490.255585
69,30113.0,45.933157,1383185.156741
70,47012.0,248.580006,11686243.242072
71,38863.0,145.143098,5640696.217574
72,136026.0,4485.331725,610121733.22485
73,96054.0,2590.199319,248799005.387226
74,15602.0,12.686317,197931.91783400002
75,5901.0,3.191253,18831.583953
76,28546.0,61.518307,1756101.591622
77,7137.0,4.583585,32713.046145
78,59916.0,390.094674,23372912.487384
79,81099.0,898.666546,72880958.214054
80,88851.0,1113.973427,98977652.962377
81,104548.0,2259.726752,236249912.46809602
82,71492.0,422.614014,30213521.088888
83,27416.0,85.442538,2342492.621808
84,38891.0,70.013979,2722913.657289
85,47154.0,202.567977,9551890.387458
86,19807.0,29.769233,589639.198031
87,34674.0,54.559187,1891785.250038
88,70149.0,578.045212,40549293.576588
89,50338.0,394.610485,19863902.59393
90,34832.0,113.292252,3946195.7216640003
91,82740.0,629.793148,52109085.065519996
92,28308.0,84.06396,2379682.57968
93,18530.0,16.294577,301938.51181
94,38137.0,85.81042,3272551.9875399997
95,65718.0,429.425187,28220964.439266
96,57728.0,321.839897,18579173.574016
97,35448.0,67.830837,2404467.509976
98,67700.0,329.249533,22290193.384099998
99,31690.0,95.37214,3022343.1166
100,34741.0,53.236352,1849484.1048319999
101,52685.0,132.572891,6984602.762335
102,18892.0,16.118666,304513.838072
103,31367.0,117.919359,3698776.533753
104,27001.0,49.671797999999995,1341188.217798
105,11741.0,13.293732999999998,156081.71915299998
106,61428.0,492.292124,30240520.593072
107,11646.0,9.236188,107564.64544800001
108,55678.0,250.69944800000002,13958443.865744
109,31761.0,55.721112999999995,1769758.269993
110,88383.0,950.571396,84014351.692668
111,79079.0,750.682527,59363223.552633
112,35184.0,78.373194,2757482.457696
113,100874.0,2097.155055,211548419.01807
114,24491.0,24.226176,593323.276416
115,41580.0,92.553108,3848358.2306399997
116,110455.0,1617.69993,178683045.76815
117,16857.0,7.746156,130576.951692
118,98229.0,2253.478376,221356927.396104
119,38913.0,109.797871,4272564.554223
120,14094.0,7.419038,104563.92157199999
121,37131.0,82.671656,3069681.258936
122,61762.0,711.949042,43971396.732003994
123,23816.0,23.709082,564655.496912
124,68636.0,472.197341,32409736.696876
125,54433.0,198.207742,10789042.020286
126,24876.0,22.206756,552415.262256
127,120555.0,2104.511374,253709368.69257003
128,7134.0,5.630321,40166.710014000004
129,11036.0,7.30231,80588.29316
130,4032.0,2.881274,11617.296768
131,30264.0,44.658889,1351556.616696
132,70428.0,802.001372,56483352.627216
133,57140.0,255.165958,14580182.840119999
134,37030.0,144.83844,5363367.4332
135,68968.0,544.41208,37547012.33344
136,9752.0,10.775079,105078.570408
137,70418.0,671.524857,47287437.380226
138,49988.0,283.532682,14173231.707816001
139,89093.0,1572.406891,140090447.139863
140,35188.0,151.863231,5343763.372428001
141,45503.0,103.527167,4710796.680001
142,81073.0,1216.177555,98599162.916515
143,23780.0,41.803977,994098.5730600001
144,58653.0,275.96419,16186127.636069998
145,52967.0,389.052093,20606922.209931
146,22919.0,48.819316,1118889.903404
147,98744.0,1288.490096,127230666.039424
148,87402.0,1087.606012,95058940.660824
149,25431.0,40.258458,1023812.845398
150,11084.0,7.518798,83338.357032
151,58402.0,244.671669,14289314.812938001
152,79730.0,810.106988,64589830.15324
153,52737.0,177.006234,9334777.762458
154,38636.0,106.197467,4103045.335012
155,5186.0,3.675149,19059.322714
156,95934.0,1066.409594,102304937.990796
157,21666.0,20.9533,453974.19779999997
158,42410.0,153.829234,6523897.813940001
159,43627.0,132.731828,5790691.460156
160,15192.0,21.209579,322215.924168
161,41785.0,140.426577,5867724.519945
162,40707.0,63.25136,2574773.11152
163,73614.0,439.983364,32388935.357496
164,25843.0,57.023655,1473662.316165
