,time,acc,predicted
0,7200.4,15.638922,112606.4939688
1,4668.5,8.645877,40363.2767745
2,4075.0,5.836844,23785.1393
3,3823.4,4.566631,17460.0569654
4,9965.0,28.544635,284447.287775
5,3177.5,3.968892,12611.15433
6,2222.0,2.689861,5976.871142
7,4853.8,8.625431,41866.11698780001
8,2785.6,2.694359,7505.406430399999
9,10931.3,35.308522,385968.0465386
10,10067.2,26.014586,261894.04017920003
11,3397.0,4.948951,16811.586547
12,725.4,1.218401,883.8280854000001
13,7477.3,15.753621,117794.5503033
14,7784.3,15.455858,120313.0354294
15,4316.2,6.36561,27475.245882
16,9870.2,29.690019,293046.42553380004
17,14732.5,69.43769,1022990.767925
18,5143.0,9.497615,48846.233945
19,6680.4,10.602998,70832.2678392
20,5706.2,9.603587,54799.9881394
21,3882.6,5.27859,20494.653534
22,4003.4,5.614577,22477.3975618
23,5028.7,8.195524,41212.831538800005
24,4585.5,6.992414,32063.714397
25,8782.8,20.575831,180713.4085068
26,5775.1,10.030032,57924.4378032
27,11155.5,35.131306,391907.284083
28,6948.1,13.292502,92357.6331462
29,6727.3,12.138567,81659.7817791
30,7617.4,18.362536,139874.7817264
31,7781.6,19.432135,151213.101716
32,4808.3,7.563871,36369.3609293
33,9700.6,30.847277,299237.0952662
34,7894.0,17.921464,141472.036816
35,4594.3,6.724092,30892.4958756
36,7407.5,16.464979,121964.3319425
37,4304.9,6.282184,27044.1739016
38,3764.1,4.690604,17655.9025164
39,11486.0,33.16613,380946.16918
40,3343.6,4.629062,15477.7317032
41,2275.1,2.973378,6764.7322878
42,11617.9,47.26581,549129.453999
43,7198.2,14.708814,105876.9849348
44,8242.0,17.997838,148338.180796
45,2601.4,3.566878,9278.8764292
46,3536.3,3.961941,14010.6119583
47,7307.0,17.836791,130333.431837
48,11294.7,38.991991,440402.8407477
49,9490.0,32.936909,312571.26641
50,6421.0,11.341114,72821.29299399999
51,7435.9,15.216912,113151.4359408
52,3490.7,4.222148,14738.252023599998
