,time,acc,predicted
0,1208.0,88126.759291,106457125.223528
1,4890.0,18229988.419353,89144643370.63617
2,2394.0,1158567.0483,2773609513.6302
3,3039.0,2726005.953263,8284332091.966257
4,2965.0,2604059.409175,7721036148.203876
5,7224.0,84511810.301739,610513317619.7626
6,1223.0,90738.466855,110973144.963665
7,1102.0,65935.192386,72660582.009372
8,2785.0,2021769.638308,5630628442.68778
9,2223.0,840387.84093,1868182170.38739
10,4191.0,10006479.339023,41937154909.84539
11,6886.0,68190208.24596,469557773981.6805
12,901.0,28438.540806,25623125.266206
13,3438.0,4483519.425918,15414339786.306084
14,3163.0,3312921.868894,10478771871.311722
15,480.0,3249.685812,1559849.18976
16,719.0,12563.691356,9033294.084964
17,5503.0,29218158.483054,160787526132.24615
18,6706.0,60990008.447944,408998996651.9125
19,895.0,28223.955496,25260440.16892
20,5066.0,20689709.943439,104814070573.46198
21,2902.0,2455160.768125,7124876549.09875
22,4206.0,10054064.896958,42287396956.60535
23,1634.0,249280.179113,407323812.670642
24,6489.0,54349398.393064,352673246172.5923
25,8796.0,186636441.174245,1641654136568.659
26,593.0,7145.045502,4237011.982686
27,3154.0,3342582.450789,10542505049.788506
28,1773.0,354260.023029,628103020.8304169
29,2331.0,983339.91404,2292165339.62724
30,4463.0,12736247.061865,56841870637.10349
31,929.0,32019.055683,29745702.729507
32,17399.0,2691011897.118447,46820915997963.86
33,8841.0,187234728.534074,1655342234969.7483
34,1518.0,195778.834178,297192270.282204
35,555.0,5475.280938,3038780.92059
36,657.0,9931.4818,6524983.542599999
37,724.0,13259.309648,9599740.185152
38,2942.0,2400038.716893,7060913905.099206
39,5060.0,20567858.028873,104073361626.09738
40,5526.0,27949413.773961,154448460514.90848
41,728.0,13531.333126,9850810.515728
42,703.0,11332.084755,7966455.582765
43,1708.0,300347.133069,512992903.281852
44,1443.0,163444.657894,235850641.341042
45,789.0,19972.434174,15758250.563286
46,1544.0,211757.11453,326952984.83432
47,3406.0,4349583.745541,14814682237.312643
48,2215.0,816489.864316,1808525049.45994
49,25489.0,12177439552.60103,310390756756247.7
50,10376.0,344364915.700745,3573130365310.93
51,8693.0,172064855.513736,1495759788980.9072
52,1872.0,434653.264878,813670911.851616
53,4203.0,9801561.819187,41195964326.04296
54,2062.0,652558.933161,1345576520.177982
55,3004.0,2753962.781046,8272904194.262183
56,3367.0,4381841.028883,14753658744.249062
57,12386.0,706725181.540485,8753498098560.447
58,1940.0,525292.027133,1019066532.63802
59,3931.0,8139817.093747,31997620995.51946
60,367.0,1385.03887,508309.26529
61,7427.0,91169367.372348,677114891474.4286
62,6919.0,71733968.666448,496327329203.1537
63,1573.0,231418.171046,364020783.055358
64,4557.0,13736183.093529,62595786357.211655
65,7047.0,77161119.533982,543754409355.9711
66,1234.0,86320.498521,106519495.174914
67,7090.0,79016006.098938,560223483241.4705
68,674.0,11027.481195,7432522.32543
69,1050.0,52703.211945,55338372.54225
70,3204.0,3439841.058525,11021250751.5141
71,1074.0,52334.142834,56206869.403716
72,10257.0,324587068.309803,3329289559653.6494
73,830.0,21256.921112,17643244.52296
74,2929.0,2600807.676815,7617765685.391134
75,5778.0,34952996.126838,201958411620.87
76,2685.0,1742444.275634,4678462880.077291
77,563.0,5661.994744,3187703.040872
78,3311.0,3922578.954907,12987658919.697077
79,1241.0,94750.931995,117585906.605795
80,4525.0,13301892.389759,60191063063.65948
81,2021.0,602137.161615,1216919203.623915
82,4078.0,9072888.697962,36999240110.28903
83,246.0,365.096224,89813.67110400001
84,1121.0,64767.548686,72604422.077006
85,7675.0,102352633.992881,785556465895.3617
86,1469.0,183939.859634,270207653.802346
87,3552.0,4928268.878725,17505211057.231197
88,4009.0,8264585.797484,33132724462.11336
89,2629.0,1637640.595686,4305357126.058495
90,11075.0,439212925.062067,4864283145062.392
91,1524.0,223293.263322,340298933.302728
92,7786.0,111125438.814551,865222666610.094
93,2079.0,662641.268532,1377631197.278028
94,5453.0,28245626.844946,154023403185.49054
95,28668.0,20021164448.78752,573966742417840.6
96,1602.0,244678.599644,391975116.629688
97,2186.0,806642.953393,1763321496.117098
98,500.0,3669.733902,1834866.951
99,5054.0,20422990.737435,103217795186.99648
100,385.0,1556.484819,599246.655315
101,2322.0,1036436.818844,2406606293.355768
102,7335.0,88020879.602558,645633151884.763
103,10781.0,425321858.607277,4585394957645.053
104,418.0,2149.599707,898532.677526
105,5416.0,26804875.583957,145175206162.71112
106,1815.0,380679.474261,690933245.783715
107,7329.0,90807493.09302,665528116878.7437
108,18105.0,3254904293.277862,58930042229795.695
109,1432.0,159913.9267,228996743.0344
110,2189.0,818983.096006,1792753997.1571338
111,1237.0,94188.185696,116510785.705952
112,1880.0,443337.58648,833474662.5824
113,10544.0,380527228.127184,4012279093373.028
114,1745.0,336305.011534,586852245.12683
115,7273.0,86659461.842759,630274265982.3862
116,4783.0,15931119.223961,76198543248.20546
117,782.0,20028.902347,15662601.635354
118,1059.0,53848.052709,57025087.81883101
119,468.0,3341.237937,1563699.354516
120,1886.0,480981.175093,907130496.225398
121,7630.0,104205613.508481,795088831069.71
122,1052.0,52901.888882,55652787.103864
123,3909.0,7449867.924459,29121533716.71023
124,1750.0,343788.113015,601629197.77625
125,3389.0,4271186.177894,14475049956.882769
126,3408.0,4244862.32763,14466490812.56304
127,5663.0,31544151.935885,178634532412.91675
128,2275.0,949325.533255,2159715588.155125
129,2347.0,1082217.006499,2539963314.253153
130,1923.0,523808.55077,1007283843.13071
131,8570.0,161699323.942269,1385763206185.2454
132,3445.0,4649356.605119,16017033504.634956
133,3205.0,3733997.449224,11967461824.76292
134,5140.0,22044985.90408,113311227546.9712
135,2528.0,1410551.013581,3565872962.332768
136,1650.0,268371.623934,442813179.4911
137,1789.0,377242.351987,674886567.7047429
138,967.0,40785.511852,39439589.960884005
139,10217.0,336159402.766797,3434540618068.365
140,7039.0,76459880.913749,538201101751.8792
141,3952.0,7895425.696227,31202722351.489105
142,1317.0,123653.277718,162851366.754606
143,3896.0,7831844.137101,30512864758.145496
144,1587.0,233144.724803,370000678.262361
145,8919.0,195981272.097011,1747956965833.2412
146,2972.0,2549099.105367,7575922541.150724
147,1341.0,125344.050773,168086372.086593
148,953.0,36049.713695,34355377.151335
149,5261.0,24369970.268502,128210413582.58902
150,2975.0,2541682.590139,7561505705.663526
151,8179.0,134724861.528294,1101914642439.9165
152,1342.0,131870.866093,176970702.29680598
153,2817.0,2162488.00773,6091728717.775411
154,4249.0,10599557.853383,45037521319.02436
155,7424.0,92439054.321935,686267539286.0454
156,8217.0,138492440.617463,1137992384553.6934
157,5334.0,25587750.37567,136485060503.8238
158,1908.0,483883.511775,923249740.4667
159,527.0,4501.62888,2372358.41976
160,1414.0,154497.817885,218459914.48939
161,783.0,18235.99484,14278783.95972
162,3753.0,6330545.897622,23758538753.775368
163,362.0,1258.334695,455517.15959
164,694.0,11778.286337,8174130.717878
165,2061.0,660287.492665,1360852522.382565
166,380.0,1829.63938,695262.9644
167,634.0,8842.140526,5605917.093483999
168,211.0,249.765642,52700.55046200001
169,11693.0,554814887.359147,6487450477890.505
170,8287.0,148059263.681393,1226967118127.704
171,866.0,25147.76478,21777964.29948
172,1166.0,83601.823797,97479726.547302
173,962.0,35633.4204,34279350.4248
174,2958.0,2708721.366425,8012397801.88515
175,1259.0,90093.461279,113427667.750261
176,6518.0,56517892.006946,368383620101.274
177,2378.0,1128955.132322,2684655304.6617165
178,10152.0,318172418.378807,3230086391381.649
179,651.0,8975.971839,5843357.667189
180,8848.0,183924760.515955,1627366281045.17
181,3265.0,3793308.188679,12385151236.036934
182,892.0,28402.432625,25334969.9015
183,1538.0,219956.828686,338293602.519068
184,244.0,344.631541,84090.096004
185,637.0,8412.725696,5358906.268352
186,4998.0,19477494.653837,97348518279.87732
187,1563.0,224462.801303,350835358.436589
188,947.0,38667.839252,36618443.771644
189,6145.0,44668853.278748,274490103397.9065
190,13547.0,1015034608.7523,13750673844767.408
191,3469.0,4578324.025449,15882206044.28258
192,1317.0,116605.313306,153569197.624002
193,12191.0,664469334.016882,8100545650999.808
194,6714.0,64227800.060475,431225449606.0292
195,838.0,21871.140394,18328015.650172
196,5479.0,28359774.563643,155383204834.2
197,2716.0,1833462.048574,4979682923.926984
198,5383.0,26024103.979991,140087751724.29156
199,2376.0,1089781.431878,2589320682.142128
200,8063.0,132797493.584112,1070746190768.6952
201,1999.0,576243.92993,1151911615.93007
202,1379.0,138387.53928,190836416.66712
203,530.0,5064.971703,2684435.00259
204,1345.0,121435.399114,163330611.80833
205,1101.0,62299.399262,68591638.587462
206,2008.0,554613.802953,1113664516.329624
207,6338.0,51857795.99216,328674710998.31006
208,287.0,771.547698,221434.189326
209,1803.0,397453.339672,716608371.4286159
210,4908.0,17953027.051624,88113456769.37059
211,9415.0,228149655.847766,2148029009806.717
212,404.0,1861.569932,752074.252528
213,6304.0,52563584.317134,331360835535.2128
214,3030.0,2766550.944845,8382649362.880349
215,4764.0,16115881.557462,76776059739.74896
216,10480.0,369005737.994837,3867180134185.892
217,1154.0,69914.920776,80681818.575504
218,6893.0,71047616.109326,489731217841.58417
219,4600.0,14209846.398719,65365293434.1074
220,3335.0,4168715.66776,13902666751.9796
221,400.0,1784.734274,713893.7096
222,2998.0,2747351.011837,8236558333.487326
223,911.0,31821.428753,28989321.593983
224,10574.0,376746869.765014,3983721400895.258
225,8270.0,143473453.099541,1186525457133.204
226,545.0,6011.946855,3276511.035975
227,2453.0,1300659.593645,3190517983.211185
228,1412.0,150075.836156,211907080.652272
229,1533.0,207571.454253,318207039.369849
230,561.0,5581.93472,3131465.37792
231,1751.0,355562.329235,622589638.4904851
232,3792.0,6646613.686093,25203959097.664654
233,392.0,1556.425386,610118.751312
234,4364.0,11364154.137934,49593168657.94397
235,4676.0,15705244.009819,73437720989.91364
236,4500.0,13425949.380963,60416772214.333496
237,2120.0,696107.82836,1475748596.1232002
238,804.0,19861.310173,15968493.379092
239,1182.0,85339.886718,100871746.100676
240,1064.0,53897.718564,57347172.552096
241,3914.0,7463722.86734,29213011302.76876
242,3795.0,6864314.770163,26050074552.768585
243,3562.0,5181175.053227,18455345539.59457
244,8181.0,138193468.207673,1130560763406.973
245,1882.0,467264.415781,879391630.4998419
246,2520.0,1371112.889737,3455204482.13724
247,1605.0,248823.372512,399361512.88176
248,12945.0,828105612.082259,10719827148404.844
249,731.0,14931.388016,10914844.639696
250,19039.0,3860931367.299913,73508272302023.05
251,6739.0,61012256.773577,411161598397.1354
252,22204.0,7037120276.799232,156252218626050.12
253,334.0,964.640044,322189.774696
254,5326.0,25851949.388881,137687482445.1802
255,5118.0,21808112.557515,111613920069.36176
256,2708.0,1759789.617947,4765510285.400476
257,463.0,3133.671738,1450890.014694
258,3407.0,4450217.021379,15161889391.838251
259,3463.0,4589853.9973,15894664392.6499
260,145.0,85.029428,12329.26706
261,8720.0,178502585.203536,1556542542974.834
