,time,acc,predicted
0,531.0,2454.602638,1303394.000778
1,826.0,12534.487012,10353486.271912
2,332.0,536.27615,178043.68180000002
3,560.0,3255.588081,1823129.32536
4,766.0,9358.410296,7168542.286736
5,487.0,1848.052827,900001.726749
6,905.0,16522.847349,14953176.850845
7,595.0,3768.728133,2242393.239135
8,501.0,1984.814286,994391.957286
9,915.0,16197.696229,14820892.049535
10,666.0,5896.311832,3926943.680112
11,498.0,2067.112144,1029421.847712
12,1056.0,28972.398004,30594852.292224
13,521.0,2285.890779,1190949.095859
14,690.0,7231.589554,4989796.7922600005
15,206.0,120.181445,24757.37767
16,456.0,1547.341099,705587.541144
17,914.0,18474.736164,16885908.853896003
18,871.0,14605.625319,12721499.652849
19,700.0,6191.25915,4333881.405
20,609.0,4138.936272,2520612.189648
21,656.0,5199.293699,3410736.666544
22,779.0,10459.415815,8147884.919885
23,778.0,10270.978595,7990821.346910001
24,435.0,1360.538665,591834.319275
25,729.0,7726.969357,5632960.661253
26,633.0,5682.778215,3597198.6100950004
27,593.0,3731.868406,2212997.964758
28,860.0,13823.713873,11888393.93078
29,570.0,3380.399754,1926827.85978
30,453.0,1459.865142,661318.909326
31,444.0,1436.344709,637737.0507959999
32,957.0,20810.34734,19915502.40438
33,824.0,12924.079844,10649441.791456
34,553.0,2839.630645,1570315.746685
35,522.0,2456.66966,1282381.56252
36,501.0,2343.482159,1174084.561659
37,590.0,3537.621904,2087196.92336
38,552.0,2877.767056,1588527.414912
39,466.0,1671.166351,778763.5195660001
40,536.0,2659.147754,1425303.196144
41,626.0,4413.208453,2762668.491578
42,672.0,6092.765076,4094338.131072
43,532.0,2397.505038,1275472.680216
44,680.0,5794.094222,3939984.07096
45,909.0,16383.369819,14892483.165471
46,737.0,7714.054303,5685258.021311
47,578.0,3478.496165,2010570.78337
48,545.0,2877.381442,1568172.88589
49,913.0,18891.307084,17247763.367692
50,620.0,4273.894985,2649814.8907
51,399.0,996.713225,397688.576775
52,677.0,6335.105849,4288866.659773
53,687.0,6465.645435,4441898.413845
54,642.0,4992.415791,3205130.937822
55,556.0,3059.984461,1701351.360316
56,525.0,2440.527929,1281277.162725
57,615.0,4093.43818,2517464.4807
58,767.0,10002.334034,7671790.204078
59,433.0,1303.811831,564550.522823
60,779.0,9503.094083,7402910.290657
61,719.0,7244.403336,5208725.998584
62,776.0,9342.15361,7249511.201359999
63,404.0,1004.371064,405765.909856
