,time,acc,predicted
0,414.0,11173.710996,4625916.352344
1,317.0,5395.055599,1710232.624883
2,376.0,9248.303722,3477362.1994720004
3,273.0,2874.630671,784774.173183
4,359.0,7280.399612,2613663.460708
5,474.0,20642.809087,9784691.507238
6,369.0,9734.735287,3592117.320903
7,341.0,5933.930208,2023470.200928
8,454.0,18800.169393,8535276.904422
9,305.0,3772.786041,1150699.742505
10,255.0,2002.382199,510607.460745
11,381.0,9727.615265,3706221.415965
12,316.0,4185.953614,1322761.342024
13,363.0,7639.234939,2773042.282857
14,413.0,11521.689548,4758457.783324
15,296.0,3415.078321,1010863.183016
16,411.0,12066.807137,4959457.733307
17,619.0,52746.747027,32650236.409713
18,302.0,3925.311985,1185444.21947
19,411.0,13247.061188,5444542.148268
20,307.0,4471.058012,1372614.8096840002
21,357.0,7386.719062,2637058.705134
22,530.0,28931.972211,15333945.27183
23,319.0,5052.249494,1611667.5885859998
24,448.0,15149.031192,6786765.9740160005
25,324.0,4809.260499,1558200.401676
26,320.0,4829.557402,1545458.36864
27,406.0,10559.916122,4287325.945532001
28,497.0,26413.612103,13127565.215191
29,439.0,14420.883978,6330768.066342
30,476.0,21361.769872,10168202.459072
31,494.0,23160.883941,11441476.666854
32,323.0,4716.372684,1523388.376932
33,424.0,13266.874755,5625154.896120001
34,318.0,4689.537172,1491272.820696
35,252.0,2437.147568,614161.187136
36,564.0,40757.465943,22987210.791852
37,179.0,733.980762,131382.55639800002
38,307.0,4087.644144,1254906.752208
39,448.0,15633.880481,7003978.455488
40,548.0,32745.208275,17944374.1347
41,514.0,25803.873939,13263191.204646
42,383.0,9075.186763,3475796.530229
43,429.0,15153.056731,6500661.337599
44,382.0,8507.141443,3249728.0312260003
45,435.0,13254.756599,5765819.120565
46,196.0,905.459665,177470.09433999998
47,360.0,7209.37857,2595376.2852
48,594.0,44037.942785,26158538.01429
49,498.0,22133.105389,11022286.483722
50,259.0,2599.025546,673147.6164139999
51,566.0,37674.500766,21323767.433556
52,352.0,6921.921386,2436516.327872
53,567.0,39033.132323,22131786.027141
54,505.0,24090.195179,12165548.565395
55,387.0,9164.897925,3546815.496975
56,224.0,1344.05652,301068.66048
57,380.0,9360.637732,3557042.33816
58,347.0,6681.086332,2318336.957204
59,483.0,21777.548942,10518556.138986
60,308.0,4210.27681,1296765.25748
61,308.0,4305.453569,1326079.699252
62,458.0,16841.925369,7713601.819002001
63,637.0,57309.739046,36506303.772302
64,269.0,3160.985999,850305.233731
65,394.0,9746.08822,3839958.75868
66,247.0,1945.026775,480421.613425
67,281.0,3116.779838,875815.134478
68,356.0,6960.597422,2477972.682232
69,633.0,65217.041675,41282387.380275
70,318.0,4586.852071,1458618.958578
71,370.0,8992.404339,3327189.6054300005
72,306.0,4060.024236,1242367.416216
73,514.0,28216.032695,14503040.80523
74,281.0,3540.018988,994745.335628
75,337.0,5592.333986,1884616.553282
76,282.0,3014.793973,850171.9003859999
77,448.0,17600.21176,7884894.868479999
78,279.0,3138.35185,875600.16615
79,333.0,5436.818888,1810460.689704
80,251.0,2350.527298,589982.351798
81,301.0,3749.831366,1128699.241166
82,501.0,24738.935315,12394206.592815
83,576.0,39973.157102,23024538.490752
84,381.0,9042.044601,3445018.992981
85,339.0,6162.633748,2089132.840572
86,382.0,9112.527755,3480985.60241
87,386.0,9506.054942,3669337.207612
88,648.0,60218.469245,39021568.07076
89,456.0,17201.562588,7843912.540128
90,489.0,23087.582599,11289827.890911
91,648.0,59285.863185,38417239.34388
92,351.0,6736.894828,2364650.084628
93,185.0,989.273329,183015.565865
94,483.0,19323.303536,9333155.607888
95,393.0,9750.745319,3832042.910367
96,300.0,3754.912117,1126473.6351
97,334.0,5560.804344,1857308.650896
98,584.0,44039.267527,25718932.235768
99,178.0,650.473127,115784.216606
100,414.0,12067.830701,4996081.910214
101,467.0,17721.228015,8275813.483005
102,343.0,5879.361239,2016620.904977
103,220.0,1325.109561,291524.10342
104,528.0,37502.652427,19801400.481456
105,361.0,6591.301826,2379459.959186
106,498.0,23093.126527,11500377.010446
107,243.0,1942.4246,472009.1778
108,283.0,3029.57158,857368.75714
109,346.0,6921.899745,2394977.31177
110,235.0,1736.927512,408177.96532
111,476.0,20246.672848,9637416.275648
112,469.0,18002.695926,8443264.389294
113,201.0,1001.541811,201309.904011
114,175.0,678.868559,118801.997825
115,320.0,6124.720054,1959910.41728
116,328.0,5175.288029,1697494.4735120002
117,244.0,1788.887134,436488.460696
118,243.0,1795.437337,436291.272891
119,380.0,8278.931445,3145993.9491
120,496.0,24333.403656,12069368.213376
121,543.0,39571.47116,21487308.83988
122,504.0,24886.934891,12543015.185064
123,348.0,6617.363089,2302842.354972
124,353.0,6943.127349,2450923.954197
125,272.0,2583.313799,702661.353328
126,306.0,3696.64959,1131174.77454
127,170.0,672.535915,114331.10555
128,346.0,8623.393348,2983694.098408
129,415.0,11492.501821,4769388.255715
130,365.0,9817.852126,3583516.02599
131,571.0,39580.282564,22600341.344044
132,274.0,2810.381041,770044.4052340001
133,437.0,14659.93264,6406390.563680001
134,501.0,22642.169459,11343726.898959
135,358.0,7030.903907,2517063.598706
136,292.0,3567.072906,1041585.288552
137,538.0,39424.150686,21210193.069068
138,300.0,4467.279052,1340183.7156
139,464.0,17028.082357,7901030.213648
140,281.0,3017.631559,847954.468079
141,435.0,14235.904029,6192618.252615
142,280.0,4673.45588,1308567.6464000002
143,367.0,7595.790042,2787654.945414
144,500.0,25057.574325,12528787.1625
145,306.0,4555.041735,1393842.77091
146,440.0,14125.662351,6215291.43444
147,349.0,6240.774155,2178030.180095
148,416.0,13650.381469,5678558.691104
149,252.0,2072.275347,522213.38744399993
150,575.0,45997.597908,26448618.7971
151,246.0,1930.860352,474991.646592
152,280.0,2904.763258,813333.71224
153,485.0,21526.497993,10440351.526605
154,116.0,163.455974,18960.892984
155,561.0,35210.405915,19753037.718315
156,166.0,598.486492,99348.757672
157,382.0,8932.970409,3412394.696238
158,452.0,15642.505381,7070412.432212001
159,287.0,3435.672447,986037.992289
160,325.0,5343.270878,1736563.03535
161,310.0,4329.584458,1342171.18198
162,494.0,27005.331921,13340633.968974
163,92.0,96.499741,8877.976172
164,328.0,5020.145231,1646607.635768
165,310.0,3954.976889,1226042.83559
166,513.0,26265.103346,13473998.016498
167,157.0,469.32292,73683.69844000001
168,322.0,5051.731312,1626657.482464
169,158.0,446.218825,70502.57435
170,386.0,9202.038936,3551987.0292960005
171,253.0,2488.84579,629677.9848699999
172,426.0,13114.011925,5586569.08005
173,344.0,5647.12221,1942610.04024
174,163.0,498.021597,81177.520311
175,484.0,22134.176698,10712941.521832
176,414.0,16752.429542,6935505.830388
177,413.0,11780.71015,4865433.29195
178,233.0,1743.334615,406196.965295
179,289.0,4639.066978,1340690.356642
180,451.0,15670.417813,7067358.433663
181,486.0,21633.970959,10514109.886074
182,463.0,17886.64579,8281517.00077
183,370.0,7641.034296,2827182.68952
184,452.0,15839.436742,7159425.407384
185,192.0,1407.77581,270292.95552
186,349.0,6446.497695,2249827.695555
187,480.0,21986.382274,10553463.49152
188,570.0,37552.205962,21404757.39834
189,320.0,4834.029624,1546889.47968
190,458.0,17045.935217,7807038.329386
191,411.0,12241.59295,5031294.70245
192,209.0,1198.175467,250418.672603
193,308.0,4403.381529,1356241.510932
194,404.0,10451.076977,4222235.098708
195,340.0,6047.573109,2056174.85706
196,383.0,10038.510928,3844749.685424
197,406.0,10503.420624,4264388.773344
198,321.0,4698.056141,1508076.021261
199,320.0,4459.275906,1426968.28992
200,289.0,3447.352216,996284.790424
201,459.0,17402.683672,7987831.805447999
202,333.0,5190.422382,1728410.653206
203,401.0,11102.276038,4452012.691238
204,332.0,5383.118486,1787195.3373520002
205,306.0,4070.992109,1245723.585354
206,356.0,7375.387507,2625637.952492
207,279.0,3333.954759,930173.377761
208,243.0,2101.795362,510736.272966
209,225.0,1658.656931,373197.809475
210,368.0,7976.491895,2935349.01736
211,384.0,9301.263196,3571685.067264
212,327.0,5736.007516,1875674.457732
213,392.0,10375.927348,4067363.520416
214,253.0,2087.04968,528023.56904
215,385.0,10110.898798,3892696.03723
216,239.0,1730.686591,413634.095249
217,100.0,112.061164,11206.1164
218,410.0,12391.034565,5080324.17165
219,433.0,16090.69378,6967270.40674
220,434.0,15276.22298,6629880.773320001
221,255.0,2042.792432,520912.07016
222,125.0,263.991208,32998.901
223,317.0,4945.77125,1567809.4862499998
224,402.0,11782.100164,4736404.265928
225,354.0,7345.883645,2600442.81033
226,279.0,3365.456151,938962.266129
227,154.0,410.925065,63282.46001
228,200.0,1047.158613,209431.7226
229,381.0,8666.512811,3301941.380991
230,481.0,20126.274245,9680737.911845
231,401.0,10011.637234,4014666.530834
232,232.0,1423.032675,330143.5806
233,363.0,7097.237448,2576297.193624
234,228.0,1408.674539,321177.79489200003
235,242.0,1814.89599,439204.82958
236,549.0,34290.448934,18825456.464766
237,419.0,11617.129371,4867577.206449
238,394.0,10356.257054,4080365.279276
239,467.0,18432.774813,8608105.837671
240,504.0,24463.824213,12329767.403352
241,456.0,16262.579025,7415736.035399999
242,308.0,4564.110443,1405746.016444
243,337.0,6321.804952,2130448.268824
244,285.0,3125.286507,890706.6544949999
245,442.0,16776.263799,7415108.599158
246,358.0,6856.508828,2454630.160424
247,254.0,2265.512123,575440.079242
248,611.0,49614.964153,30314743.097483
249,285.0,3025.480673,862261.991805
250,436.0,14272.984616,6223021.292576
251,351.0,6336.719563,2224188.566613
252,401.0,10857.759887,4353961.714687
253,328.0,5458.364935,1790343.69868
254,526.0,28687.172236,15089452.596136
255,558.0,37696.697889,21034757.422062
256,118.0,178.316494,21041.346292
257,600.0,45523.407886,27314044.7316
258,421.0,13111.830762,5520080.750802
259,124.0,192.573038,23879.056712
260,243.0,2023.950606,491819.997258
261,349.0,6421.514912,2241108.704288
262,421.0,13137.341801,5530820.898221
263,218.0,1332.506539,290486.425502
264,220.0,1357.153729,298573.82038000005
265,510.0,25325.457404,12915983.27604
266,357.0,7477.343206,2669411.524542
267,462.0,18281.779149,8446181.966838
268,514.0,24802.33046,12748397.85644
269,377.0,7993.36568,3013498.86136
270,417.0,11523.91553,4805472.77601
271,259.0,2478.241533,641864.5570469999
272,450.0,15656.41684,7045387.578
273,520.0,27803.305652,14457718.93904
274,337.0,5895.183713,1986676.911281
275,371.0,8115.79215,3010958.88765
276,445.0,15249.924513,6786216.408285
277,470.0,23053.652112,10835216.49264
278,404.0,10890.503475,4399763.4039
279,438.0,14810.955515,6487198.51557
280,403.0,12228.063059,4927909.412777
281,478.0,20138.685377,9626291.610206
282,533.0,28348.002644,15109485.409252
283,559.0,36327.042743,20306816.893337
284,324.0,4575.952102,1482608.481048
285,319.0,5152.026948,1643496.596412
286,364.0,7091.627149,2581352.282236
287,506.0,23262.040366,11770592.425196
288,403.0,10413.936188,4196816.283764
289,410.0,12232.959605,5015513.43805
290,531.0,29635.127132,15736252.507092
291,192.0,1013.912062,194671.115904
292,378.0,8863.363161,3350351.274858
293,186.0,754.711395,140376.31947000002
294,319.0,4692.347644,1496858.898436
295,292.0,3530.524059,1030913.025228
296,306.0,3949.790304,1208635.833024
297,322.0,4897.030459,1576843.8077979998
298,306.0,4302.603896,1316596.7921759998
299,480.0,21507.558666,10323628.15968
300,351.0,8612.717006,3023063.669106
301,463.0,17742.86997,8214948.796109999
302,146.0,343.504523,50151.660358
303,213.0,1374.767403,292825.456839
304,254.0,2542.632059,645828.542986
305,441.0,14815.4319,6533605.4679
306,168.0,551.292727,92617.178136
307,347.0,6031.440106,2092909.716782
308,335.0,6845.29522,2293173.8987
309,401.0,9798.796547,3929317.415347
310,283.0,3514.891158,994714.197714
311,147.0,335.287417,49287.250299
312,249.0,2240.387853,557856.5753970001
313,494.0,23954.594774,11833569.818356
314,441.0,15451.211633,6813984.330153001
315,305.0,3838.424333,1170719.421565
316,346.0,6196.665703,2144046.333238
317,657.0,74446.003729,48911024.449953005
318,449.0,16276.885891,7308321.765059
319,480.0,20186.659642,9689596.62816
320,546.0,32810.099041,17914314.076386
321,345.0,5758.213972,1986583.82034
322,395.0,10277.689805,4059687.472975
323,231.0,1574.442038,363696.110778
324,263.0,2419.14429,636234.94827
325,425.0,12908.591258,5486151.28465
326,363.0,8672.362634,3148067.636142
327,339.0,5744.525147,1947394.024833
328,478.0,19657.792812,9396424.964136
329,410.0,11375.435806,4663928.68046
330,474.0,17442.26427,8267633.26398
331,445.0,17590.911848,7827955.77236
332,355.0,6722.409736,2386455.45628
333,450.0,17649.757654,7942390.944300001
334,380.0,8493.039037,3227354.8340600003
335,504.0,23778.962801,11984597.251704
336,413.0,11310.740842,4671335.967746
337,372.0,8781.411622,3266685.123384
338,331.0,5536.866995,1832702.975345
339,402.0,12098.702701,4863678.485802
340,535.0,31324.458909,16758585.516315
341,366.0,7990.966375,2924693.69325
342,353.0,6361.250612,2245521.466036
343,428.0,13481.467329,5770068.016812
344,152.0,435.416671,66183.333992
345,501.0,23589.962011,11818570.967511
346,705.0,84055.009509,59258781.703844994
347,294.0,3487.700632,1025383.985808
348,225.0,1453.817949,327109.038525
349,277.0,2829.415789,783748.1735530001
350,262.0,2202.377619,577022.936178
351,440.0,16014.104164,7046205.83216
352,239.0,1782.426846,426000.016194
353,324.0,5120.563555,1659062.59182
354,349.0,6767.522165,2361865.235585
355,572.0,37801.680775,21622561.4033
356,468.0,20895.318193,9779008.914324
357,234.0,1572.866944,368050.864896
358,611.0,48784.82996,29807531.10556
359,566.0,44940.552314,25436352.609724
360,461.0,16631.887278,7667300.035157999
361,404.0,10753.267933,4344320.244932
362,397.0,9831.06816,3902934.05952
363,263.0,2603.54446,684732.19298
364,524.0,30577.667388,16022697.711312002
365,290.0,3121.187054,905144.24566
366,416.0,13596.313942,5656066.5998720005
367,342.0,6451.255424,2206329.355008
368,369.0,7663.080081,2827676.549889
369,393.0,9161.738894,3600563.385342
370,420.0,13504.870414,5672045.57388
371,229.0,1615.230127,369887.699083
372,511.0,28441.785473,14533752.376703
373,178.0,752.985386,134031.398708
374,325.0,5107.427094,1659913.80555
375,342.0,6130.791132,2096730.567144
376,430.0,13921.345775,5986178.68325
377,174.0,741.246002,128976.804348
378,309.0,4559.195728,1408791.4799519998
379,215.0,1140.103944,245122.34796
380,266.0,2579.379677,686114.994082
381,296.0,3496.002054,1034816.607984
382,454.0,16524.276043,7502021.323522001
383,418.0,12227.790868,5111216.582824
384,385.0,8519.025546,3279824.83521
385,129.0,349.412573,45074.221917
386,26.0,5.714385,148.57401
387,301.0,3799.441491,1143631.888791
388,316.0,4100.285256,1295690.140896
389,593.0,42157.363541,24999316.579813
390,323.0,5189.631298,1676250.909254
391,317.0,4928.565222,1562355.175374
392,387.0,9954.097986,3852235.920582
393,377.0,8395.315418,3165033.9125860003
394,459.0,17025.783034,7814834.412606
395,521.0,27248.919882,14196687.258521998
396,321.0,5678.83809,1822907.02689
397,382.0,8788.614976,3357250.920832
