,time,acc,predicted
0,4216.0,1189.02406,5012925.43696
1,2130.0,138.464269,294928.89297
2,2182.0,153.024661,333899.810302
3,3668.0,745.754952,2735429.163936
4,3241.0,498.430697,1615413.888977
5,3429.0,583.700696,2001509.686584
6,1263.0,38.797129,49000.773927
7,4818.0,1908.710878,9196169.010204
8,2637.0,261.716763,690147.104031
9,3329.0,571.888503,1903816.826487
10,2840.0,338.036579,960023.88436
11,3319.0,549.617389,1824180.114091
12,2229.0,159.869884,356349.971436
13,3536.0,658.223447,2327478.108592
14,4261.0,1181.702242,5035233.253162
15,4204.0,1151.973133,4842895.051132
16,4674.0,1681.621162,7859897.311187999
17,4243.0,1181.949661,5015012.411623
18,4587.0,1577.773905,7237248.902235
19,5095.0,2141.12414,10909027.4933
20,2762.0,312.847221,864084.024402
21,5151.0,2295.710442,11825204.486742
22,4249.0,1220.652641,5186553.071609
23,3084.0,419.187885,1292775.43734
24,2704.0,276.339844,747222.938176
25,3739.0,802.111236,2999093.911404
26,2546.0,232.433582,591775.899772
27,2663.0,263.966703,702943.3300889999
28,3659.0,739.449601,2705646.090059
29,2863.0,342.725414,981222.860282
30,2702.0,274.770704,742430.4422080001
31,2229.0,158.063707,352324.002903
32,4231.0,1198.669927,5071572.461137
33,4417.0,1342.538387,5929992.0553790005
34,4821.0,1772.282159,8544172.288539
35,1254.0,35.010311,43902.929994000006
36,1968.0,110.753355,217962.60264
37,4158.0,1155.063028,4802752.070424
38,4964.0,2022.144247,10037924.042108
39,4204.0,1172.671232,4929909.859328
40,1239.0,35.648869,44168.948691
41,5220.0,2480.412411,12947752.78542
42,3851.0,869.231947,3347412.227897
43,5936.0,3812.327534,22629976.241824
44,2815.0,330.149494,929370.82561
45,5264.0,2463.873158,12969828.303712
46,2996.0,376.614133,1128335.942468
47,3478.0,612.407215,2129952.29377
48,4288.0,1226.141515,5257694.81632
49,3254.0,520.391829,1693355.011566
50,2666.0,269.464752,718393.028832
51,3829.0,855.649253,3276280.9897370003
52,2133.0,143.973261,307094.96571300004
53,5222.0,2462.019419,12856665.406018002
